gene,LV1,LV2,LV3,LV4,LV5,LV6,LV7,LV8,LV9,LV10,LV11,LV12,LV13,LV14,LV15,LV16,LV17,LV18,LV19,LV20,LV21,LV22,LV23,LV24,LV25,LV26,LV27,LV28,LV29,LV30
PPP4R1,0.0,0.3093456552988102,0.0,0.0,0.0,0.01474894788000905,0.008278042353739279,0.0,0.0,0.12031108085139271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10587114112693508,0.0021285185769930656,0.0,0.0,0.06121427432293911,0.0,0.0915156674321133,0.0,0.019698208626451462,0.0,0.0,0.023880972982018484,0.0
IER3,0.0,0.19287372604907585,0.0,0.0,0.0,0.0,0.0,0.0,0.10686620570225522,0.01705230128749274,0.0,0.10570307935906176,0.01317257593039036,0.0,0.0,0.0,0.018828161178318738,0.13286498117243215,0.0,0.039553387023413496,0.0003637545680578597,0.0,0.04275699428262141,0.038793544487772974,0.0,0.0,0.0,0.10155001797499552,0.005264058986306082,0.0
DLG5,0.10243722446137707,0.05094652437797163,0.05712695377678497,0.06971955472787092,0.08561850078655085,0.0,0.014094394664563104,0.0,0.18442758666188688,0.0,0.0,0.051703881066990226,0.0,0.02771135838445345,0.0,0.0,0.0,0.006041251361436485,0.0,0.0,0.0,0.07359087167441158,0.0,0.08176489555726778,0.3248720193528108,0.0305305771548287,0.0,0.00011500932825150634,0.05484740963742139,0.0
TPD52,0.0,0.0,0.10601667879127652,0.027976558390106505,0.0,0.0,0.09336980531472444,0.28911450358632446,0.004375288742137941,0.0,0.028253697209885888,0.0,0.11656635380156292,0.05118989918872806,0.007384769771300395,0.0,0.12013093449626847,0.0,0.01788344326727514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0179413425378718,0.1288422068259374,0.06845526035767661
CD14,0.0,0.12501142558833783,0.0,0.0,0.31996659964248175,0.0,0.0,0.05414153971258736,0.0,0.0,0.0,0.17675838944942954,0.0,0.0,0.05336160032815257,0.0,0.0,0.0,0.0,0.0,0.08800545209353873,0.08080388090756083,0.14321687045916998,0.0,0.0,0.0,0.027987749502390323,0.0,0.0876902895638936,0.023060445726948334
TOMM34,0.0,0.0,0.014899305163828813,0.09702845208450067,0.06289904719567976,0.07847822463376605,0.0,0.009876767173739353,0.0,0.0,0.10635954476521431,0.0,0.0,0.0,0.07195796407531226,0.0,0.02175755540655998,0.0,0.0,0.08340057414496806,0.0,0.0,0.1707782721768551,0.16300376920689927,0.04483136339344698,0.013528387976205487,0.09890041109571462,0.10071905180108578,0.0,0.052947480860977364
PON2,0.0,0.0,0.2947429294083249,0.0,0.01436093258534065,0.0,0.13986518321995783,0.0,0.11750283211650452,0.0,0.018376807772939367,0.0,0.0,0.004020043697346439,0.006186742817493001,0.16247017247611242,0.0,0.03357467302862389,0.020583140576449506,0.0,0.0,0.0,0.02640386509861688,0.16703120644896752,0.0,0.01735175585130651,0.016886499637471467,0.0,0.0,0.0
RRM2,0.07388395042190268,0.0,0.0,0.0,0.0,0.0,0.0,0.5209255027200462,0.0,0.0,0.0206969187797328,0.0,0.008417888447877843,0.0,0.0,0.022487600335103712,0.0,0.04409189690094587,0.0,0.036245454766382725,0.0,0.02085735057338958,0.10431393298612573,0.016790998475721484,0.044622419697918796,0.0,0.027331784736998564,0.0,0.0,0.04424893841662955
PPP1R12B,0.09426967951800806,0.2000125313780602,0.14370777161145895,0.0,0.0,0.0,0.0,0.0,0.020423646933153825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.025122378868415812,0.16035669669042707,0.020812032008187327,0.0,0.04776740896512876,0.04385906751087978,0.0,0.0,0.0,0.009942384707812384,0.01031309294713073,0.012707829508783505,0.10417116914135686,0.0
DYNLT1,0.0,0.11222816093375909,0.0495757171860352,0.0,0.004342807669774336,0.0,0.0,0.0,0.012170648236056712,0.09203499465407053,0.0006362862240773232,0.0015390029589594004,0.030212913575249627,0.0,0.0018133993056568551,0.0,0.0,0.13855134224824775,0.03464607320692551,0.0,0.0,0.03999107800437944,0.15565863194008847,0.0,0.0,0.0,0.12225089220963284,0.011677096031155498,0.0,0.0
